voterid,urbanicity,date_of_birth,gender,married,homeowner,has_children,zipcode,modeled_charitable_giving,household_income,unaffiliated_voter,modeled_activist_score,modeled_turnout_score,discretionary_income_level,nonsaver_level,modeled_partisan_score,survey_respondent,liberal_cause_donation,ntile
19995,Urban,1979,,0,,,3208,,145000,1,36.4,85.1,2,,81.9,0,,1
15200,Suburban,1971,F,0,0,,4259,10,50000,1,41.6,84.3,8,4,81.9,0,,2
11200,Suburban,1990,F,0,0,1,4724,6,75000,1,74.3,73.1,3,7,81.9,0,,2
15699,Rural,1950,F,1,1,,5349,1,121000,1,65.9,89.3,7,10,82,0,,1
16974,Suburban,1943,F,0,1,,4064,10,24000,1,49.7,87.7,10,6,82,0,,2
11446,Suburban,1991,M,1,1,,5238,,161000,1,43.5,70.7,2,,82.1,0,,1
4810,Rural,1956,F,1,1,,3572,9,66000,1,53.3,86.4,1,7,82.2,1,26,1
1315,Urban,1957,,1,1,,3219,3,65000,1,54.8,85.6,8,2,82.2,1,79,1
906,Urban,1941,M,1,1,,3202,4,54000,1,76,80.7,8,7,82.2,1,23,1
11862,Urban,1941,F,0,,,3616,10,17000,1,33.2,75.9,11,4,82.2,0,,2
16670,Urban,1968,F,0,,,4104,,41000,1,42.8,71.2,9,,82.2,0,,2
15285,Rural,1953,F,1,1,,4623,7,67000,1,59.2,97,5,5,82.3,0,,1
19875,Urban,1950,F,0,1,,4117,,21000,1,49.2,76.9,11,,82.3,0,,1
9608,Urban,1960,M,0,1,,None,1,,1,41.2,76.7,,7,82.3,0,,2
13302,Suburban,1972,M,1,0,,5509,6,77000,1,18,90.3,6,7,82.5,0,,1
10334,Urban,1946,M,1,1,,4136,7,88000,1,47.2,85.7,1,8,82.5,0,,1
10028,Rural,1958,M,1,1,1,4812,6,83000,1,32.3,84,5,10,82.5,0,,2
1455,Suburban,1976,F,0,,,3223,10,15000,1,46.3,78.7,11,3,82.5,0,,2
10367,Suburban,1934,M,1,1,,5017,9,41000,1,81.1,90.6,8,4,82.6,0,,1
406,Suburban,1949,F,0,1,,4229,6,97000,1,23.9,88.3,3,9,82.6,1,89,1
1946,Rural,1990,,1,,,4693,,,1,39.6,82.8,,,82.6,0,,2
5475,Suburban,1942,F,0,1,,5257,9,50000,1,46,82,8,7,82.6,0,,2
9956,Suburban,1953,F,1,1,,4726,6,72000,1,66.9,96.6,5,5,82.7,0,,1
1596,Rural,1958,F,0,,,5719,4,71000,1,20.4,83.6,4,7,82.7,1,44,1
18994,Urban,1971,M,0,1,,3215,2,72000,1,18.3,79.2,6,8,82.7,0,,1
732,Urban,1953,F,0,1,,3613,10,29000,1,32.2,77.5,10,4,82.7,1,43,2
12712,Suburban,1944,,1,,,3064,,,1,39,71.6,,,82.7,0,,2
15315,Suburban,1966,F,1,1,,3065,6,76000,1,22.4,93.6,5,8,82.8,0,,1
2303,Urban,1980,M,1,1,,5200,1,228000,1,15.8,83.2,2,8,82.8,1,61,1
8858,Urban,1986,,0,,,3208,,,1,50.2,80.9,,,82.8,0,,2
10998,Rural,1973,M,1,1,,3358,10,90000,1,27.1,94.5,4,9,82.9,0,,1
3586,Suburban,1962,F,1,0,,4067,8,87000,1,20.4,86,4,10,82.9,1,42,1
4161,Urban,1989,M,0,,,3222,,,1,80.1,71.4,,,82.9,0,,2
15153,Suburban,1964,F,0,1,,3705,8,42000,1,73,96,10,1,83.1,0,,1
5843,Urban,1952,F,0,1,,3229,6,26000,1,57,93.6,10,4,83.1,0,,1
15022,Suburban,1960,M,1,1,,4094,10,76000,1,26.7,91.8,5,9,83.1,0,,1
15675,Rural,1954,M,1,,,4447,9,64000,1,57.7,91.6,4,7,83.1,0,,2
10902,Urban,1982,M,0,,,4109,8,82000,1,61.9,79.5,4,8,83.1,0,,2
15354,Urban,1976,M,0,,,3205,4,99000,1,33,70.9,5,7,83.1,0,,2
5130,Suburban,1937,F,1,1,,4480,8,64000,1,66.1,96.8,1,7,83.2,0,,1
10815,Suburban,1955,M,1,1,,4259,,45000,1,82.9,93.6,9,1,83.2,0,,1
18030,Suburban,1985,F,0,1,,5011,8,61000,1,23.3,76.1,3,7,83.2,0,,2
8406,Suburban,1971,,1,0,,5019,,48000,1,29.5,95.2,8,,83.3,0,,1
5050,Suburban,1941,,0,1,,4070,,92000,1,82.9,92.5,11,,83.3,0,,1
11520,Urban,1976,,0,1,,3230,1,125000,1,13.1,72.7,2,9,83.3,0,,2
19001,Rural,1946,F,1,1,,5393,,18000,1,45.1,92.5,11,1,83.4,0,,1
891,Suburban,1967,M,1,1,,3021,8,91000,1,16.8,86.2,6,10,83.4,1,59,1
1643,Suburban,1957,F,0,1,,4516,8,44000,1,20.5,83.2,10,4,83.4,1,50,2
19906,Urban,1976,F,1,1,,4125,10,53000,1,21.1,79.8,7,6,83.4,0,,2
15322,Rural,1950,F,1,,,5663,4,22000,1,20.3,89.6,11,6,83.5,0,,1
6178,Rural,1939,F,0,1,,4087,1,155000,1,59.9,83.4,4,9,83.5,0,,2
19726,Urban,1967,F,1,1,,3608,10,46000,1,14.9,88.2,8,2,83.6,0,,1
15433,Suburban,1975,F,0,1,,4878,6,89000,1,40.6,85.6,4,9,83.6,0,,1
11452,Urban,1970,F,0,1,,3229,1,158000,1,21.6,85.6,2,9,83.6,0,,2
7718,Suburban,1963,F,1,1,,4513,8,57000,1,40.5,86.2,7,7,83.7,0,,1
9466,Suburban,1933,F,0,1,,4145,6,101000,1,82.4,73.9,4,9,83.7,0,,2
13607,Suburban,1957,F,1,1,,4035,8,63000,1,62.9,97.1,6,7,83.9,0,,1
11526,Urban,1984,M,1,,,5212,7,81000,1,61.7,85.5,10,10,83.9,0,,1
18429,Suburban,1945,M,0,1,,5244,4,50000,1,48.7,83.4,7,4,83.9,0,,1
17152,Suburban,1969,M,0,,,3528,6,83000,1,34.4,79.7,4,7,83.9,0,,2
19839,Suburban,1955,M,1,1,,5804,5,77000,1,47.6,77.5,3,7,83.9,0,,2
6451,Urban,1976,M,0,1,,5203,6,80000,1,26.4,81,1,7,84.1,0,,1
4599,Urban,1988,F,0,1,,3617,9,35000,1,14.4,80.9,9,2,84.1,1,100,1
18434,Urban,1968,M,0,1,,3235,7,69000,1,16.1,80.1,8,5,84.1,0,,2
6423,Suburban,1986,,0,,,4008,,,1,41.9,70.6,,,84.1,0,,2
6949,Rural,1960,M,0,,,5755,5,74000,1,63.8,94.3,2,8,84.2,0,,1
14289,Rural,1967,M,0,1,,5362,7,68000,1,31,91.9,3,7,84.2,0,,1
11851,Rural,1948,F,1,1,,5825,10,44000,1,45.1,89.7,8,2,84.2,0,,2
3538,Rural,1973,F,0,,,5036,7,84000,1,20.1,79.5,5,9,84.2,1,72,2
15160,Rural,1964,F,1,,,3356,6,71000,1,21.7,90,5,7,84.3,0,,1
19918,Suburban,1971,M,1,1,,4143,7,108000,1,31.8,88,3,10,84.3,0,,1
12917,Suburban,1958,,0,1,,4123,6,123000,1,60.1,86.8,1,9,84.3,0,,1
14291,Rural,1975,M,0,1,,3513,,124000,1,28,82.4,3,5,84.3,0,,2
9943,Urban,1983,,0,,,5439,,,1,63.3,70.2,,,84.3,0,,2
11824,Suburban,1984,M,1,,,3017,9,68000,1,19.5,77,6,7,84.4,0,,1
7613,Urban,1955,M,1,1,,3023,9,83000,1,50.1,95.9,1,7,84.5,0,,1
1782,Suburban,1945,M,1,1,,5234,1,141000,1,89.6,95.6,8,9,84.6,1,48,1
7466,Urban,1961,F,1,1,,4130,10,14000,1,45.4,85.3,11,2,84.6,0,,1
1667,Urban,1980,F,0,1,,4102,10,58000,1,68.8,83.3,7,6,84.6,1,66,2
18931,Suburban,1986,,0,,,3554,,,1,47.4,74.8,,,84.6,0,,2
16418,Suburban,1959,M,1,1,,4315,5,18000,1,60.2,95.2,11,9,84.7,0,,1
19212,Rural,1949,F,1,1,,4698,6,24000,1,61.1,92,11,6,84.7,0,,1
5009,Suburban,1974,M,0,1,,4142,8,60000,1,40.3,85.7,6,8,84.7,1,43,1
12080,Suburban,1942,F,1,1,,3085,7,50000,1,50.5,81.5,9,8,84.7,0,,2
6467,Urban,1984,,0,,,4107,,,1,79.4,79.2,,,84.7,0,,2
9919,Suburban,1948,M,1,1,,3013,6,119000,1,17.4,90.2,1,5,84.8,0,,1
11457,Urban,1948,M,0,0,,4135,,14000,1,82.2,83.9,11,1,84.8,0,,2
7323,Rural,1952,M,1,0,,3050,5,54000,1,72.3,94.9,4,4,84.9,0,,1
13018,Rural,1938,M,1,,,3316,9,46000,1,35.1,82.7,9,4,84.9,0,,1
16443,Urban,1982,M,1,1,,3216,5,151000,1,61.5,73.9,2,10,84.9,0,,2
11183,Urban,1960,M,1,1,,3205,8,62000,1,59.1,96,6,5,85,0,,1
19510,Urban,1957,M,1,1,,4117,10,64000,1,37.8,86.1,1,5,85,0,,1
2980,Rural,1980,,1,,,3017,,,1,47.2,83.6,,,85,0,,1
15021,Suburban,1943,F,0,1,,4050,9,59000,1,55.9,83.6,7,6,85,0,,2
14083,Rural,1938,,0,,,3064,,,1,35,82.5,,,85,0,,2
7635,Urban,1949,F,0,,,3605,10,50000,1,8.6,75.8,8,7,85,0,,2
12583,Urban,1979,M,1,1,,3080,6,70000,1,55.6,88.4,6,4,85.1,0,,1
3492,Rural,1926,M,1,1,,4876,10,12000,1,65.6,72.4,11,2,85.1,1,6,2
19195,Rural,1953,M,1,1,,5337,4,77000,1,50.2,94.1,5,9,85.2,0,,1
14807,Suburban,1942,F,1,1,,5019,7,71000,1,51.9,85.6,5,8,85.2,0,,1
9253,Rural,1969,F,1,1,,4237,9,58000,1,12.4,77.8,7,7,85.2,0,,2
12701,Urban,1988,F,0,1,,3210,,92000,1,36.8,76.8,3,,85.2,0,,2
17955,Suburban,1937,M,1,1,,5243,9,50000,1,79.5,94.5,7,6,85.3,0,,1
8896,Rural,1951,M,1,1,,3507,2,77000,1,40.3,90.8,4,9,85.3,0,,1
6769,Rural,1973,F,1,1,1,5066,5,90000,1,16.1,89.2,1,8,85.3,0,,1
388,Urban,1974,,0,,,4100,,,1,33.3,80,,,85.3,0,,2
17558,Suburban,1967,F,0,1,,3205,7,54000,1,25,72.7,1,5,85.3,0,,2
18090,Suburban,1988,M,0,0,,None,,19000,1,50.9,79.9,11,,85.4,0,,1
15616,Rural,1984,F,1,,,5377,5,18000,1,16.3,86.7,11,8,85.5,0,,1
10087,Urban,1984,M,0,1,,4127,,103000,1,64.1,79.4,1,,85.6,0,,1
14769,Suburban,1954,,1,,,5805,,116000,1,74.4,91.3,3,,85.7,0,,1
1501,Urban,1965,F,0,0,,5203,9,49000,1,42.3,85.5,8,2,85.7,1,68,1
8564,Urban,1951,F,0,1,,4103,3,46000,1,78.2,83.9,2,1,85.7,0,,2
14158,Urban,1980,,0,1,,3236,9,49000,1,48.2,81.7,9,2,85.8,0,,1
16321,Urban,1985,F,0,1,,4318,6,69000,1,66.7,79.9,6,8,85.8,0,,1
2590,Rural,1987,F,,1,,4049,10,15000,1,46.2,71.1,6,4,85.8,1,85,2
13146,Suburban,1950,F,0,1,,4474,,18000,1,70.5,96.2,11,4,85.9,0,,1
8587,Urban,1951,M,0,1,,3215,,84000,1,77.8,86.7,1,,85.9,0,,1
10060,Suburban,1978,M,0,,,3612,9,76000,1,45.7,85.8,6,7,85.9,0,,1
8518,Urban,1956,F,0,,,4309,,19000,1,28.5,85.3,11,,85.9,0,,1
14184,Urban,1980,M,1,,,4106,9,77000,1,45.5,82.6,3,7,85.9,0,,1
12815,Urban,1988,M,0,,,4115,3,76000,1,43.6,75.8,4,7,85.9,0,,2
8913,Suburban,1973,F,0,1,,3069,,35000,1,53.6,74.8,9,,85.9,0,,2
12342,Urban,1991,M,0,0,,3200,,63000,1,89,74.6,7,,85.9,0,,2
19896,Urban,1977,M,0,,,3210,,6000,1,61.9,72.2,11,,85.9,0,,2
3064,Suburban,1947,,1,,,5151,,15000,1,58.4,94.4,11,,86,0,,1
2485,Urban,1990,F,0,1,,3204,,,1,22,83.6,,,86,0,,1
15334,Urban,1957,F,0,1,1,3605,8,37000,1,17.9,83,4,1,86,0,,2
6802,Suburban,1987,M,0,1,,4489,8,58000,1,57.6,80.1,8,7,86,0,,2
4839,Suburban,1957,F,0,,,5048,8,59000,1,61.3,86.6,7,3,86.1,1,51,1
12623,Suburban,1982,F,0,,,4133,,87000,1,62.3,86.5,3,,86.1,0,,1
15615,Urban,1929,F,0,,,4102,10,16000,1,60.3,81.2,11,2,86.1,0,,2
4492,Rural,1951,M,1,1,,4448,4,122000,1,74.2,95.9,4,9,86.2,1,21,1
18233,Urban,1979,F,1,,,3205,4,112000,1,21.7,89.5,3,7,86.2,0,,1
270,Urban,1982,F,1,,,3236,1,132000,1,30.5,85.5,7,8,86.2,1,81,1
4874,Urban,1965,M,1,1,,4120,5,50000,1,85.7,83.6,2,2,86.2,1,100,2
3129,Suburban,1955,M,1,1,,4143,9,,1,70.1,82.6,,5,86.2,1,19,2
11514,Suburban,1955,F,1,1,1,4140,1,308000,1,65.3,96.4,1,8,86.3,0,,1
19727,Urban,1957,M,1,1,1,4127,3,81000,1,64.4,96,4,8,86.3,0,,2
19227,Suburban,1965,M,1,1,,5450,4,87000,1,52.9,90.9,2,9,86.4,0,,1
18678,Rural,1958,M,1,1,,5698,,59000,1,31.7,74.6,1,1,86.4,0,,1
6573,Urban,1951,,0,0,,3222,1,102000,1,15,71.9,5,6,86.4,0,,2
9381,Rural,1966,F,0,1,,5314,10,46000,1,20.8,85.9,8,2,86.5,0,,1
12472,Suburban,1959,M,1,1,,3610,10,21000,1,35,82.1,11,3,86.5,0,,1
7606,Urban,1982,,0,,,4106,,,1,53.1,78,,,86.5,0,,2
9321,Urban,1986,F,1,1,1,5208,10,66000,1,48.5,70.3,9,5,86.5,0,,2
9478,Suburban,1959,M,1,1,,4018,2,123000,1,53.9,94.4,1,8,86.6,0,,1
1181,Rural,1946,,1,,,5896,,,1,30.1,82.1,,,86.6,0,,1
5089,Urban,1989,,0,,,5202,,,1,65.4,75.2,,,86.6,0,,2
10188,Urban,1988,M,0,,,3200,2,153000,1,12.4,71.5,3,6,86.6,0,,2
18325,Rural,1972,M,0,1,1,4079,5,79000,1,63.8,76.1,4,8,86.7,0,,1
3194,Rural,1956,M,1,1,1,4907,4,83000,1,75.8,97.3,4,8,86.8,1,23,1
2227,Suburban,1938,F,0,1,,4686,9,25000,1,65.5,90.9,11,6,86.8,1,8,1
12476,Suburban,1954,M,1,1,1,3560,6,92000,1,22,85.4,4,9,86.8,0,,1
16437,Suburban,1984,M,1,1,,3012,7,90000,1,20.1,82,10,10,86.8,0,,2
11551,Urban,1957,F,0,1,,4225,10,36000,1,18.7,77.8,6,5,86.8,0,,2
3807,Suburban,1951,M,1,1,,5244,3,159000,1,26,83.4,2,5,86.9,1,42,1
17256,Suburban,1946,F,0,0,,4037,,16000,1,18.3,79.2,10,,86.9,0,,1
14105,Suburban,1972,F,0,,,4088,,31000,1,38.9,78.6,10,,86.9,0,,2
19372,Urban,1983,M,1,,,3084,6,79000,1,20.4,87.4,6,8,87,0,,1
12055,Urban,1982,M,0,,,3221,5,57000,1,23.8,84,8,5,87,0,,2
18617,Suburban,1957,F,1,1,,5389,5,59000,1,82.6,95.8,6,7,87.1,0,,1
5803,Suburban,1954,F,0,0,,4136,8,76000,1,30.5,85.6,3,3,87.1,0,,1
10765,Rural,2001,,1,,,3537,,96000,1,66.3,80,3,,87.1,0,,2
13388,Suburban,1961,F,0,1,,4319,6,54000,1,76.1,85.4,3,7,87.2,0,,1
3867,Urban,1949,F,0,,,5411,10,15000,1,75.9,79.9,11,2,87.2,1,34,1
15759,Urban,1986,,0,,,5200,,,1,50.2,77.1,,,87.2,0,,2
9668,Suburban,1951,M,0,1,,3018,6,91000,1,22.4,72.3,4,8,87.2,0,,2
15638,Suburban,1928,F,1,1,1,4013,2,134000,1,51.7,91.1,4,8,87.3,0,,1
5036,Rural,1973,M,1,1,,5653,7,95000,1,30.7,84.8,4,8,87.3,1,72,1
2340,Suburban,1963,,0,,,4065,9,72000,1,32.6,78.4,5,5,87.3,1,61,2
6685,Suburban,1960,M,1,1,1,4123,1,302000,1,78.3,96.7,1,8,87.4,0,,1
9952,Suburban,1954,M,1,1,,3135,7,62000,1,73,94.7,7,7,87.4,0,,1
5670,Urban,1936,F,0,0,,3082,,105000,1,74.8,93,3,,87.4,0,,1
16050,Suburban,1989,F,0,1,,4130,,,1,54.8,75.5,,,87.4,0,,2
7488,Urban,1948,,0,,,5216,,,1,82.2,70.5,,,87.4,0,,2
2018,Urban,1969,F,0,,,4132,9,67000,1,27,84.3,4,5,87.5,1,99,1
3744,Urban,1964,M,0,1,,3227,6,41000,1,15.1,81,9,4,87.5,1,53,1
18866,Urban,1974,M,0,1,,4106,,82000,1,22.7,80.8,4,,87.5,0,,2
10263,Urban,1980,F,1,,,3215,,61000,1,65.1,78.6,6,,87.5,0,,2
908,Urban,1955,F,1,1,,3220,1,129000,1,64.9,91.7,1,8,87.6,1,68,1
10662,Rural,1955,M,1,1,,4077,7,83000,1,49,88.3,1,10,87.6,0,,1
18924,Urban,1958,F,0,1,,4127,1,233000,1,75.3,88.1,1,10,87.6,0,,1
20057,Suburban,1966,,1,1,,4430,9,70000,1,49.1,87.6,5,8,87.6,0,,2
4101,Urban,1971,F,0,,,4103,8,89000,1,27.8,85.3,3,7,87.6,1,100,2
14935,Urban,1954,F,0,1,,4311,10,39000,1,13.7,75.9,8,1,87.6,0,,2
9849,Urban,1960,M,0,1,,4138,10,52000,1,56.6,88.9,6,4,87.7,0,,1
16230,Rural,1941,M,1,1,,5755,7,43000,1,69.1,88.8,8,6,87.7,0,,1
2958,Urban,1984,M,0,,,3215,8,67000,1,27.8,72.4,5,3,87.7,1,92,2
15900,Urban,1947,M,0,1,,4136,10,53000,1,14.4,73,8,1,87.8,0,,1
5269,Urban,1942,F,0,1,,5207,2,115000,1,59.4,72.3,2,9,87.8,0,,2
19660,Urban,1960,M,0,1,,4304,8,46000,1,21.8,83.7,8,4,87.9,0,,1
9536,Rural,1945,,0,,,5776,,,1,38,70.1,,,87.9,0,,2
8541,Rural,1955,,1,,,4429,,,1,63,78.2,,,88.1,0,,1
3183,Urban,1984,,0,,,5214,,35000,1,61.1,83.9,9,,88.2,0,,1
1983,Suburban,1942,F,0,1,,4200,9,18000,1,36.5,82.2,11,4,88.2,1,28,2
3766,Rural,1988,F,1,1,,5364,9,45000,1,61.3,80.3,9,1,88.3,1,80,1
11260,Urban,1953,F,0,,,4129,4,56000,1,70.1,74.8,11,7,88.3,0,,2
7499,Rural,1942,M,1,1,,3337,,29000,1,60,92,10,3,88.4,0,,1
3524,Suburban,1946,F,0,1,1,5340,9,32000,1,89.9,92,8,5,88.4,1,1,1
11269,Rural,1957,F,1,1,,3051,8,67000,1,34.6,90.7,7,6,88.4,0,,1
18040,Suburban,1969,M,1,1,,4269,2,127000,1,11.3,89.1,4,10,88.4,0,,2
19817,Urban,1975,,0,,,4109,,,1,36.8,73.3,,,88.4,0,,2
17219,Urban,1953,M,1,1,,5231,8,77000,1,31.7,91.3,6,7,88.5,0,,1
1659,Rural,1958,F,1,1,,3501,8,49000,1,66.5,88.4,3,4,88.5,1,42,1
17382,Suburban,1989,M,1,1,1,4138,8,76000,1,64.2,83.5,11,7,88.5,0,,1
11107,Suburban,1956,,1,,,4098,,67000,1,66.3,82,5,,88.5,0,,2
9080,Urban,1952,,0,,,4112,,19000,1,88.6,73.6,11,,88.5,0,,2
9703,Rural,1943,,1,1,,3332,,19000,1,31.4,85.7,9,1,88.6,0,,1
1915,Rural,1955,F,0,1,,3559,10,50000,1,56.5,85.3,5,4,88.6,1,24,1
8840,Suburban,1952,F,0,,,4143,9,53000,1,68.6,84.7,7,8,88.6,0,,2
17518,Urban,2001,,1,,,3215,,103000,1,74.6,79.8,1,,88.6,0,,2
5741,Urban,1954,F,1,,,3209,3,84000,1,82.8,96.1,10,10,88.7,0,,1
13289,Rural,1979,M,1,1,,3116,6,76000,1,24.9,88.4,4,8,88.7,0,,1
1573,Urban,1981,,0,0,,5205,,56000,1,48.1,82.9,8,,88.7,0,,2
15002,Urban,1943,M,1,1,,4136,,12000,1,51.9,82.8,11,1,88.7,0,,2
13967,Rural,1950,F,1,,,3315,7,50000,1,26,87.2,8,6,88.8,0,,1
4256,Urban,1977,F,0,1,,4107,10,46000,1,10.6,80.8,6,4,88.8,1,98,1
6050,Suburban,1984,,0,,,4051,,,1,53.6,79,,,88.8,0,,2
15609,Urban,1987,M,1,,,4146,10,66000,1,15.9,71.7,4,4,88.8,0,,2
5272,Suburban,1968,M,1,1,,4049,3,149000,1,37.9,87.2,2,9,88.9,0,,1
17811,Urban,1985,M,1,1,,4270,8,72000,1,24.4,84.2,6,4,88.9,0,,1
15342,Suburban,1950,M,1,1,,5046,7,75000,1,61.2,84.1,1,5,88.9,0,,1
2944,Urban,1999,,1,,,3205,,133000,1,77.7,79,2,,88.9,0,,2
14041,Rural,1990,F,0,1,,None,,,1,82.6,74.2,,,88.9,0,,2
11209,Suburban,1934,F,1,1,,4039,10,71000,1,38.3,72.1,11,6,88.9,0,,2
8351,Suburban,1958,F,0,1,,5248,1,157000,1,62,95,2,7,89,0,,1
14027,Rural,1938,M,1,1,,4610,8,46000,1,63.4,94.2,8,4,89,0,,1
1038,Rural,1975,M,1,1,,4861,5,68000,1,23.5,89.2,4,5,89,1,78,2
3455,Urban,1991,,0,,,3202,,,1,38,71.1,,,89,0,,2
20075,Urban,1981,F,1,0,1,3206,7,70000,1,33.7,92.4,6,4,89.1,0,,1
11397,Rural,1952,,1,,,5889,,,1,65.5,78.1,,,89.1,0,,1
16665,Urban,1964,M,0,,,4107,3,70000,1,62.8,77.6,5,5,89.1,0,,2
1495,Suburban,1984,,0,1,,5385,1,176000,1,66,85.3,2,10,89.2,1,78,1
18225,Urban,1950,F,1,1,,3222,9,50000,1,21.5,77.8,7,4,89.2,0,,2
1440,Urban,1963,F,1,,,5232,10,37000,1,50.2,89.9,11,1,89.3,1,61,1
10309,Rural,1986,F,1,1,,5349,4,87000,1,36.9,86.1,4,7,89.3,0,,1
6405,Suburban,1995,,0,,,5703,,,1,70.6,84.5,,,89.3,0,,1
